zip,date,predicted_price,model_used
20001,2026-01-31,644986.511534062,arima
20001,2026-02-28,644966.3591110478,arima
20001,2026-03-31,644962.9082954956,arima
20001,2026-04-30,644962.3173924579,arima
20001,2026-05-31,644962.2162087248,arima
20001,2026-06-30,644962.1988824509,arima
20001,2026-07-31,644962.1959155732,arima
20001,2026-08-31,644962.1954075376,arima
20001,2026-09-30,644962.1953205437,arima
20001,2026-10-31,644962.1953056472,arima
20001,2026-11-30,644962.1953030964,arima
20001,2026-12-31,644962.1953026596,arima
20001,2027-01-31,644962.1953025849,arima
20001,2027-02-28,644962.1953025721,arima
20001,2027-03-31,644962.1953025699,arima
20001,2027-04-30,644962.1953025695,arima
20001,2027-05-31,644962.1953025694,arima
20001,2027-06-30,644962.1953025694,arima
20001,2027-07-31,644962.1953025694,arima
20001,2027-08-31,644962.1953025694,arima
20001,2027-09-30,644962.1953025694,arima
20001,2027-10-31,644962.1953025694,arima
20001,2027-11-30,644962.1953025694,arima
20001,2027-12-31,644962.1953025694,arima
20002,2026-01-31,618124.8559599597,arima
20002,2026-02-28,618101.335211873,arima
20002,2026-03-31,618097.2678115026,arima
20002,2026-04-30,618096.5644433226,arima
20002,2026-05-31,618096.4428111371,arima
20002,2026-06-30,618096.4217775034,arima
20002,2026-07-31,618096.4181401953,arima
20002,2026-08-31,618096.4175112022,arima
20002,2026-09-30,618096.4174024315,arima
20002,2026-10-31,618096.417383622,arima
20002,2026-11-30,618096.4173803694,arima
20002,2026-12-31,618096.4173798069,arima
20002,2027-01-31,618096.4173797095,arima
20002,2027-02-28,618096.4173796928,arima
20002,2027-03-31,618096.4173796899,arima
20002,2027-04-30,618096.4173796894,arima
20002,2027-05-31,618096.4173796893,arima
20002,2027-06-30,618096.4173796893,arima
20002,2027-07-31,618096.4173796893,arima
20002,2027-08-31,618096.4173796893,arima
20002,2027-09-30,618096.4173796893,arima
20002,2027-10-31,618096.4173796893,arima
20002,2027-11-30,618096.4173796893,arima
20002,2027-12-31,618096.4173796893,arima
20003,2026-01-31,822556.693614767,arima
20003,2026-02-28,822565.2563300403,arima
20003,2026-03-31,822566.199562227,arima
20003,2026-04-30,822566.3034646609,arima
20003,2026-05-31,822566.3149101097,arima
20003,2026-06-30,822566.3161708915,arima
20003,2026-07-31,822566.3163097738,arima
